Liechtenstein,LIE,160
Sri Lanka,LKA,65610
Lower middle income,LMC,20835744.0615845
Low & middle income,LMY,94797353.9053345
Lesotho,LSO,30360
Late-demographic dividend,LTE,45769685.859375
Lithuania,LTU,65286.0009765625
Luxembourg,LUX,2590
Latvia,LVA,64490
"Macao SAR, China",MAC,30.3999996185303
St. Martin (French part),MAF,
Morocco,MAR,446550
Monaco,MCO,
Moldova,MDA,33850
Madagascar,MDG,587295
Maldives,MDV,300
Middle East & North Africa,MEA,11370619.992218
Mexico,MEX,1964375
Marshall Islands,MHL,180
Middle income,MIC,80717998.9053345
North Macedonia,MKD,25710
Mali,MLI,1240190
Malta,MLT,320
Myanmar,MMR,676590
Middle East & North Africa (excluding high income),MNA,8775231.9921875
Montenegro,MNE,13810
Mongolia,MNG,1564120
Northern Mariana Islands,MNP,460
Mozambique,MOZ,786380
Mauritania,MRT,1030700
Mauritius,MUS,2040
Malawi,MWI,118480
Malaysia,MYS,330345
North America,NAC,19820470
Namibia,NAM,824290
New Caledonia,NCL,18580
Niger,NER,1267000
Nigeria,NGA,923770
Nicaragua,NIC,130370
Netherlands,NLD,41540
Norway,NOR,625217.109375
Nepal,NPL,147180
Nauru,NRU,20
New Zealand,NZL,267710
OECD members,OED,36570179.1064453
Oman,OMN,309500
Other small states,OSS,2072942.99911499
Pakistan,PAK,796100
Panama,PAN,75420
Peru,PER,1285220
Philippines,PHL,300000
Palau,PLW,460
Papua New Guinea,PNG,462840
Poland,POL,312680
Pre-demographic dividend,PRE,18149307.9922485
Puerto Rico,PRI,8870
"Korea, Dem. People’s Rep.",PRK,120540
Portugal,PRT,92225.595703125
Paraguay,PRY,406751.9921875
West Bank and Gaza,PSE,6020
Pacific island small states,PSS,65150
Post-demographic dividend,PST,33539743.5064602
French Polynesia,PYF,4000
Qatar,QAT,11610
Romania,ROU,238400
Russian Federation,RUS,17098250
Rwanda,RWA,26340
South Asia,SAS,5135333.06152344
Saudi Arabia,SAU,2149690
Sudan,SDN,
Senegal,SEN,196710
Singapore,SGP,719.000015258789
Solomon Islands,SLB,28900
Sierra Leone,SLE,72300
El Salvador,SLV,21040
San Marino,SMR,60
Somalia,SOM,637660
Serbia,SRB,88360
Sub-Saharan Africa (excluding high income),SSA,21753996.000061
South Sudan,SSD,
Sub-Saharan Africa,SSF,21754456.000061
Small states,SST,2573082.99911499
Sao Tome and Principe,STP,960
Suriname,SUR,163820
Slovak Republic,SVK,49030
Slovenia,SVN,20675
Sweden,SWE,447430
Eswatini,SWZ,17360
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,460
Syrian Arab Republic,SYR,185180
Turks and Caicos Islands,TCA,950
Chad,TCD,1284000
East Asia & Pacific (IDA & IBRD countries),TEA,16152595
Europe & Central Asia (IDA & IBRD countries),TEC,23842881.875
Togo,TGO,56790
Thailand,THA,513120
Tajikistan,TJK,141380
Turkmenistan,TKM,488100
Latin America & the Caribbean (IDA & IBRD countries),TLA,20290595.9765625
Timor-Leste,TLS,14870
Middle East & North Africa (IDA & IBRD countries),TMN,8769211.9921875
Tonga,TON,750
South Asia (IDA & IBRD),TSA,5135333.06152344
Sub-Saharan Africa (IDA & IBRD countries),TSS,21754456.000061
Trinidad and Tobago,TTO,5130
Tunisia,TUN,163610
Turkey,TUR,785350
Tuvalu,TUV,30
Tanzania,TZA,947300
Uganda,UGA,241550
Ukraine,UKR,603550
Upper middle income,UMC,59882254.84375
Uruguay,URY,176220
United States,USA,9831510
Uzbekistan,UZB,447400
St. Vincent and the Grenadines,VCT,390
"Venezuela, RB",VEN,912050
British Virgin Islands,VGB,150
Virgin Islands (U.S.),VIR,350
Vietnam,VNM,331230
Vanuatu,VUT,12190
World,WLD,132025199.411879
Samoa,WSM,2840
Kosovo,XKX,
"Yemen, Rep.",YEM,527970
South Africa,ZAF,1219090
Zambia,ZMB,752610
Zimbabwe,ZWE,390760
